name,part_type,first_rate_pct,win_share_pct,usage_pct,top_cuts,snapshot_date,source_url,has_meta_data,meta_status,lookup_key
Aero Pegasus,blade,35.7,21.9,21.0,2028.0,2026-09-21,https://beywatch.gg/blades/aero-pegasus,1,observed,Aero Pegasus
Antler,blade,40.0,0.1,0.1,5.0,2026-09-21,https://beywatch.gg/blades/antler,1,observed,Antler
Arc,blade,29.5,0.4,0.5,44.0,2026-09-21,https://beywatch.gg/blades/arc,1,observed,Arc
Bite Croc,blade,37.0,0.5,0.5,46.0,2026-09-21,https://beywatch.gg/blades/bite-croc,1,observed,Bite Croc
Black Shell,blade,47.4,0.3,0.2,19.0,2026-09-21,https://beywatch.gg/blades/black-shell,1,observed,Black Shell
Blast,blade,35.4,13.0,12.6,1214.0,2026-09-21,https://beywatch.gg/blades/blast,1,observed,Blast
Blitz,blade,34.1,0.9,0.9,85.0,2026-09-21,https://beywatch.gg/blades/blitz,1,observed,Blitz
Brave,blade,26.9,0.9,1.1,108.0,2026-09-21,https://beywatch.gg/blades/brave,1,observed,Brave
Brush,blade,24.4,0.3,0.4,41.0,2026-09-21,https://beywatch.gg/blades/brush,1,observed,Brush
Bullet Griffon,blade,31.5,1.9,2.0,197.0,2026-09-21,https://beywatch.gg/blades/bullet-griffon,1,observed,Bullet Griffon
Bumblebee,blade,33.3,0.0,0.0,3.0,2026-09-21,https://beywatch.gg/blades/bumblebee,1,observed,Bumblebee
Captain America,blade,,,,,2026-09-21,https://beywatch.gg/blades/captain-america,0,pending_or_insufficient,Captain America
Chewbacca,blade,100.0,0.0,0.0,1.0,2026-09-21,https://beywatch.gg/blades/chewbacca,1,observed,Chewbacca
Clamp Crab,blade,,,,,2026-09-21,https://beywatch.gg/blades/clamp-crab,0,pending_or_insufficient,Clamp Crab
Clock Mirage,blade,30.6,2.5,2.8,268.0,2026-09-21,https://beywatch.gg/blades/clock-mirage,1,observed,Clock Mirage
Cobalt Dragoon,blade,34.1,23.6,23.6,2277.0,2026-09-21,https://beywatch.gg/blades/cobalt-dragoon,1,observed,Cobalt Dragoon
Cobalt Drake,blade,31.4,1.0,1.1,105.0,2026-09-21,https://beywatch.gg/blades/cobalt-drake,1,observed,Cobalt Drake
Crimson Garuda,blade,26.4,0.6,0.7,72.0,2026-09-21,https://beywatch.gg/blades/crimson-garuda,1,observed,Crimson Garuda
Cutter Shinobi,blade,0.0,0.0,0.0,2.0,2026-09-21,https://beywatch.gg/blades/cutter-shinobi,1,observed,Cutter Shinobi
Dark,blade,26.7,0.1,0.2,15.0,2026-09-21,https://beywatch.gg/blades/dark,1,observed,Dark
Darth Vader,blade,40.0,0.1,0.1,5.0,2026-09-21,https://beywatch.gg/blades/darth-vader,1,observed,Darth Vader
Delta,blade,29.9,1.1,1.2,117.0,2026-09-21,https://beywatch.gg/blades/delta,1,observed,Delta
Doctor Doom,blade,,,,,2026-09-21,https://beywatch.gg/blades/doctor-doom,0,pending_or_insufficient,Doctor Doom
Draciel Shield,blade,44.4,0.1,0.1,9.0,2026-09-21,https://beywatch.gg/blades/draciel-shield,1,observed,Draciel Shield
Dragoon Storm,blade,28.6,0.2,0.3,28.0,2026-09-21,https://beywatch.gg/blades/dragoon-storm,1,observed,Dragoon Storm
Dran Buster,blade,31.9,4.4,4.7,454.0,2026-09-21,https://beywatch.gg/blades/dran-buster,1,observed,Dran Buster
Dran Dagger,blade,27.4,0.8,1.0,95.0,2026-09-21,https://beywatch.gg/blades/dran-dagger,1,observed,Dran Dagger
Dran Strike,blade,32.2,2.6,2.7,264.0,2026-09-21,https://beywatch.gg/blades/dran-strike,1,observed,Dran Strike
Dran Sword,blade,27.6,1.5,1.8,174.0,2026-09-21,https://beywatch.gg/blades/dran-sword,1,observed,Dran Sword
Dranzer Spiral,blade,37.5,0.2,0.2,16.0,2026-09-21,https://beywatch.gg/blades/dranzer-spiral,1,observed,Dranzer Spiral
Driger Slash,blade,25.0,0.1,0.1,12.0,2026-09-21,https://beywatch.gg/blades/driger-slash,1,observed,Driger Slash
Eclipse,blade,31.5,0.8,0.9,89.0,2026-09-21,https://beywatch.gg/blades/eclipse,1,observed,Eclipse
Fang,blade,36.4,0.1,0.1,11.0,2026-09-21,https://beywatch.gg/blades/fang,1,observed,Fang
Flame,blade,31.3,0.2,0.2,16.0,2026-09-21,https://beywatch.gg/blades/flame,1,observed,Flame
Flare,blade,20.5,0.3,0.5,44.0,2026-09-21,https://beywatch.gg/blades/flare,1,observed,Flare
Fort,blade,0.0,0.0,0.0,3.0,2026-09-21,https://beywatch.gg/blades/fort,1,observed,Fort
Fortress,blade,28.2,0.3,0.4,39.0,2026-09-21,https://beywatch.gg/blades/fortress,1,observed,Fortress
General Grievous,blade,0.0,0.0,0.0,1.0,2026-09-21,https://beywatch.gg/blades/general-grievous,1,observed,General Grievous
Ghost Circle,blade,26.3,0.3,0.4,38.0,2026-09-21,https://beywatch.gg/blades/ghost-circle,1,observed,Ghost Circle
Gill Shark,blade,25.0,0.1,0.1,12.0,2026-09-21,https://beywatch.gg/blades/gill-shark,1,observed,Gill Shark
Glare Cyclops,blade,,,,,2026-09-21,https://beywatch.gg/blades/glare-cyclops,0,pending_or_insufficient,Glare Cyclops
Glory Valkyrie,blade,34.3,1.4,1.4,137.0,2026-09-21,https://beywatch.gg/blades/glory-valkyrie,1,observed,Glory Valkyrie
Golem Rock,blade,28.5,5.0,6.0,582.0,2026-09-21,https://beywatch.gg/blades/golem-rock,1,observed,Golem Rock
Green Goblin,blade,,,,,2026-09-21,https://beywatch.gg/blades/green-goblin,0,pending_or_insufficient,Green Goblin
Grogu,blade,,,,,2026-09-21,https://beywatch.gg/blades/grogu,0,pending_or_insufficient,Grogu
Gust Bat,blade,40.0,0.1,0.1,5.0,2026-09-21,https://beywatch.gg/blades/gust-bat,1,observed,Gust Bat
Hack Viking,blade,0.0,0.0,0.0,4.0,2026-09-21,https://beywatch.gg/blades/hack-viking,1,observed,Hack Viking
Heavens Ring,blade,21.9,0.2,0.3,32.0,2026-09-21,https://beywatch.gg/blades/heavens-ring,1,observed,Heavens Ring
Hells Chain,blade,29.8,1.0,1.2,114.0,2026-09-21,https://beywatch.gg/blades/hells-chain,1,observed,Hells Chain
Hells Hammer,blade,27.1,0.9,1.1,107.0,2026-09-21,https://beywatch.gg/blades/hells-hammer,1,observed,Hells Hammer
Hells Nether,blade,16.7,0.2,0.3,30.0,2026-09-21,https://beywatch.gg/blades/hells-nether,1,observed,Hells Nether
Hells Scythe,blade,32.7,2.8,2.9,281.0,2026-09-21,https://beywatch.gg/blades/hells-scythe,1,observed,Hells Scythe
Hover Wyvern,blade,32.8,19.2,20.0,1930.0,2026-09-21,https://beywatch.gg/blades/hover-wyvern,1,observed,Hover Wyvern
Hulk,blade,0.0,0.0,0.0,1.0,2026-09-21,https://beywatch.gg/blades/hulk,1,observed,Hulk
Hunt,blade,24.0,0.2,0.3,25.0,2026-09-21,https://beywatch.gg/blades/hunt,1,observed,Hunt
Hurricane,blade,100.0,0.0,0.0,1.0,2026-09-21,https://beywatch.gg/blades/hurricane,1,observed,Hurricane
Impact Drake,blade,32.4,2.9,3.1,299.0,2026-09-21,https://beywatch.gg/blades/impact-drake,1,observed,Impact Drake
Iron Man,blade,0.0,0.0,0.0,1.0,2026-09-21,https://beywatch.gg/blades/iron-man,1,observed,Iron Man
Knife Shinobi,blade,20.0,0.1,0.2,15.0,2026-09-21,https://beywatch.gg/blades/knife-shinobi,1,observed,Knife Shinobi
Knight Lance,blade,25.0,0.3,0.4,36.0,2026-09-21,https://beywatch.gg/blades/knight-lance,1,observed,Knight Lance
Knight Mail,blade,27.6,4.2,5.2,507.0,2026-09-21,https://beywatch.gg/blades/knight-mail,1,observed,Knight Mail
Knight Shield,blade,34.3,1.1,1.1,105.0,2026-09-21,https://beywatch.gg/blades/knight-shield,1,observed,Knight Shield
