name,part_type,first_rate_pct,win_share_pct,usage_pct,top_cuts,snapshot_date,source_url
Aero Pegasus,blade,35.7,21.9,21.0,2028.0,2026-09-20,https://beywatch.gg/blades/aero-pegasus
Antler,blade,40.0,0.1,0.1,5.0,2026-09-20,https://beywatch.gg/blades/antler
Arc,blade,29.5,0.4,0.5,44.0,2026-09-20,https://beywatch.gg/blades/arc
Bite Croc,blade,37.0,0.5,0.5,46.0,2026-09-20,https://beywatch.gg/blades/bite-croc
Black Shell,blade,47.4,0.3,0.2,19.0,2026-09-20,https://beywatch.gg/blades/black-shell
Blast,blade,35.4,13.0,12.6,1214.0,2026-09-20,https://beywatch.gg/blades/blast
Blitz,blade,34.1,0.9,0.9,85.0,2026-09-20,https://beywatch.gg/blades/blitz
Brave,blade,26.9,0.9,1.1,108.0,2026-09-20,https://beywatch.gg/blades/brave
Brush,blade,24.4,0.3,0.4,41.0,2026-09-20,https://beywatch.gg/blades/brush
Bullet Griffon,blade,31.5,1.9,2.0,197.0,2026-09-20,https://beywatch.gg/blades/bullet-griffon
Bumblebee,blade,33.3,0.0,0.0,3.0,2026-09-20,https://beywatch.gg/blades/bumblebee
Captain America,blade,,,,,2026-09-20,https://beywatch.gg/blades/captain-america
Chewbacca,blade,100.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/chewbacca
Clamp Crab,blade,,,,,2026-09-20,https://beywatch.gg/blades/clamp-crab
Clock Mirage,blade,30.6,2.5,2.8,268.0,2026-09-20,https://beywatch.gg/blades/clock-mirage
Cobalt Dragoon,blade,34.1,23.6,23.6,2277.0,2026-09-20,https://beywatch.gg/blades/cobalt-dragoon
Cobalt Drake,blade,31.4,1.0,1.1,105.0,2026-09-20,https://beywatch.gg/blades/cobalt-drake
Crimson Garuda,blade,26.4,0.6,0.7,72.0,2026-09-20,https://beywatch.gg/blades/crimson-garuda
Cutter Shinobi,blade,0.0,0.0,0.0,2.0,2026-09-20,https://beywatch.gg/blades/cutter-shinobi
Dark,blade,26.7,0.1,0.2,15.0,2026-09-20,https://beywatch.gg/blades/dark
Darth Vader,blade,40.0,0.1,0.1,5.0,2026-09-20,https://beywatch.gg/blades/darth-vader
Delta,blade,29.9,1.1,1.2,117.0,2026-09-20,https://beywatch.gg/blades/delta
Doctor Doom,blade,,,,,2026-09-20,https://beywatch.gg/blades/doctor-doom
Draciel Shield,blade,44.4,0.1,0.1,9.0,2026-09-20,https://beywatch.gg/blades/draciel-shield
Dragoon Storm,blade,28.6,0.2,0.3,28.0,2026-09-20,https://beywatch.gg/blades/dragoon-storm
Dran Buster,blade,31.9,4.4,4.7,454.0,2026-09-20,https://beywatch.gg/blades/dran-buster
Dran Dagger,blade,27.4,0.8,1.0,95.0,2026-09-20,https://beywatch.gg/blades/dran-dagger
Dran Strike,blade,32.2,2.6,2.7,264.0,2026-09-20,https://beywatch.gg/blades/dran-strike
Dran Sword,blade,27.6,1.5,1.8,174.0,2026-09-20,https://beywatch.gg/blades/dran-sword
Dranzer Spiral,blade,37.5,0.2,0.2,16.0,2026-09-20,https://beywatch.gg/blades/dranzer-spiral
Driger Slash,blade,25.0,0.1,0.1,12.0,2026-09-20,https://beywatch.gg/blades/driger-slash
Eclipse,blade,31.5,0.8,0.9,89.0,2026-09-20,https://beywatch.gg/blades/eclipse
Fang,blade,36.4,0.1,0.1,11.0,2026-09-20,https://beywatch.gg/blades/fang
Flame,blade,31.3,0.2,0.2,16.0,2026-09-20,https://beywatch.gg/blades/flame
Flare,blade,20.5,0.3,0.5,44.0,2026-09-20,https://beywatch.gg/blades/flare
Fort,blade,0.0,0.0,0.0,3.0,2026-09-20,https://beywatch.gg/blades/fort
Fortress,blade,28.2,0.3,0.4,39.0,2026-09-20,https://beywatch.gg/blades/fortress
General Grievous,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/general-grievous
Ghost Circle,blade,26.3,0.3,0.4,38.0,2026-09-20,https://beywatch.gg/blades/ghost-circle
Gill Shark,blade,25.0,0.1,0.1,12.0,2026-09-20,https://beywatch.gg/blades/gill-shark
Glare Cyclops,blade,,,,,2026-09-20,https://beywatch.gg/blades/glare-cyclops
