listing_id,slot,blade,ratchet,bit,content_source,source_reference,blade_resuelto,ratchet_resuelto,bit_resuelto,combo_resuelto,blade_first_rate_pct,blade_win_share_pct,blade_usage_pct,blade_top_cuts,blade_has_meta,ratchet_first_rate_pct,ratchet_win_share_pct,ratchet_usage_pct,ratchet_top_cuts,ratchet_has_meta,bit_first_rate_pct,bit_win_share_pct,bit_usage_pct,bit_top_cuts,bit_has_meta,blade_matched,ratchet_matched,bit_matched,combo_match_coverage,combo_meta_coverage,combo_usage_mean,combo_usage_max,combo_top_cuts_mean,combo_top_cuts_max,combo_first_rate_mean,combo_first_rate_max,combo_win_share_mean,combo_win_share_max
rucua_bx-00-beyblade-25th-anniversary-set,1,Dragoon Storm,4-60,RA,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True,28.6,0.2,0.3,28.0,1.0,27.3,2.1,2.7,256.0,1.0,28.6,2.4,2.8,273.0,1.0,1,1,1,1.0,1.0,1.9333333333333333,2.8,185.66666666666666,273.0,28.166666666666668,28.6,1.5666666666666667,2.4
rucua_bx-00-beyblade-25th-anniversary-set,2,Storm Pegasis,3-70,RA,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True,42.9,0.1,0.1,7.0,1.0,31.9,2.7,2.9,279.0,1.0,28.6,2.4,2.8,273.0,1.0,1,1,1,1.0,1.0,1.9333333333333333,2.9,186.33333333333334,279.0,34.46666666666667,42.9,1.7333333333333334,2.7
rucua_bx-00-beyblade-25th-anniversary-set,3,Victory Valkyrie,2-60,RA,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True,18.2,0.1,0.1,11.0,1.0,20.7,0.4,0.6,58.0,1.0,28.6,2.4,2.8,273.0,1.0,1,1,1,1.0,1.0,1.1666666666666667,2.8,114.0,273.0,22.5,28.6,0.9666666666666667,2.4
rucua_bx-00-beyblade-25th-anniversary-set,4,Dran Sword,3-60,F,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True,27.6,1.5,1.8,174.0,1.0,33.4,45.5,46.5,4488.0,1.0,23.3,2.2,3.2,313.0,1.0,1,1,1,1.0,1.0,17.166666666666668,46.5,1658.3333333333333,4488.0,28.099999999999998,33.4,16.400000000000002,45.5
rucua_bx-00-booster-cobalt-drake-4-60f-clear-ver,1,Cobalt Drake,4-60,F,product_name,https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-clear-ver,True,True,True,True,31.4,1.0,1.1,105.0,1.0,27.3,2.1,2.7,256.0,1.0,23.3,2.2,3.2,313.0,1.0,1,1,1,1.0,1.0,2.3333333333333335,3.2,224.66666666666666,313.0,27.333333333333332,31.4,1.7666666666666668,2.2
rucua_bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,1,Cobalt Drake,4-60,F,product_name,https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,True,True,True,True,31.4,1.0,1.1,105.0,1.0,27.3,2.1,2.7,256.0,1.0,23.3,2.2,3.2,313.0,1.0,1,1,1,1.0,1.0,2.3333333333333335,3.2,224.66666666666666,313.0,27.333333333333332,31.4,1.7666666666666668,2.2
rucua_bx-00-booster-draciel-shield-7-60d,1,Draciel Shield,7-60,D,product_name,https://rucua.com/products/bx-00-booster-draciel-shield-7-60d,True,True,True,True,44.4,0.1,0.1,9.0,1.0,34.0,23.6,23.7,2286.0,1.0,24.6,0.4,0.6,57.0,1.0,1,1,1,1.0,1.0,8.133333333333335,23.7,784.0,2286.0,34.333333333333336,44.4,8.033333333333333,23.6
rucua_bx-00-booster-dragoon-storm-4-60ra,1,Dragoon Storm,4-60,RA,product_name,https://rucua.com/products/bx-00-booster-dragoon-storm-4-60ra,True,True,True,True,28.6,0.2,0.3,28.0,1.0,27.3,2.1,2.7,256.0,1.0,28.6,2.4,2.8,273.0,1.0,1,1,1,1.0,1.0,1.9333333333333333,2.8,185.66666666666666,273.0,28.166666666666668,28.6,1.5666666666666667,2.4
rucua_bx-00-booster-dran-sword-3-60f-version-2-0,1,Dran Sword,3-60,F,product_name,https://rucua.com/products/bx-00-booster-dran-sword-3-60f-version-2-0,True,True,True,True,27.6,1.5,1.8,174.0,1.0,33.4,45.5,46.5,4488.0,1.0,23.3,2.2,3.2,313.0,1.0,1,1,1,1.0,1.0,17.166666666666668,46.5,1658.3333333333333,4488.0,28.099999999999998,33.4,16.400000000000002,45.5
rucua_bx-00-booster-dranzer-spiral-3-80t,1,Dranzer Spiral,3-80,T,product_name,https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t,True,True,True,True,37.5,0.2,0.2,16.0,1.0,25.7,1.2,1.6,152.0,1.0,30.2,5.5,6.2,602.0,1.0,1,1,1,1.0,1.0,2.6666666666666665,6.2,256.6666666666667,602.0,31.133333333333336,37.5,2.3000000000000003,5.5
rucua_bx-00-booster-dranzer-spiral-3-80t-black-ver,1,Dranzer Spiral,3-80,T,product_name,https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t-black-ver,True,True,True,True,37.5,0.2,0.2,16.0,1.0,25.7,1.2,1.6,152.0,1.0,30.2,5.5,6.2,602.0,1.0,1,1,1,1.0,1.0,2.6666666666666665,6.2,256.6666666666667,602.0,31.133333333333336,37.5,2.3000000000000003,5.5
rucua_bx-00-booster-drigger-slash-4-80p,1,Driger Slash,4-80,P,product_name,https://rucua.com/products/bx-00-booster-drigger-slash-4-80p,True,True,True,True,25.0,0.1,0.1,12.0,1.0,20.0,0.2,0.4,35.0,1.0,31.5,11.5,12.5,1205.0,1.0,1,1,1,1.0,1.0,4.333333333333333,12.5,417.3333333333333,1205.0,25.5,31.5,3.9333333333333336,11.5
rucua_bx-00-booster-hells-chain-5-60ht-metal-coat-black,1,Hells Chain,5-60,HT,product_name,https://rucua.com/products/bx-00-booster-hells-chain-5-60ht-metal-coat-black,True,True,True,True,29.8,1.0,1.2,114.0,1.0,32.5,25.0,26.2,2532.0,1.0,24.6,0.5,0.7,65.0,1.0,1,1,1,1.0,1.0,9.366666666666665,26.2,903.6666666666666,2532.0,28.96666666666667,32.5,8.833333333333334,25.0
rucua_bx-00-booster-hells-size-4-60t-metal-coat-gold,1,Hells Scythe,4-60,T,product_name,https://rucua.com/products/bx-00-booster-hells-size-4-60t-metal-coat-gold,True,True,True,True,32.7,2.8,2.9,281.0,1.0,27.3,2.1,2.7,256.0,1.0,30.2,5.5,6.2,602.0,1.0,1,1,1,1.0,1.0,3.9333333333333336,6.2,379.6666666666667,602.0,30.066666666666666,32.7,3.466666666666667,5.5
rucua_bx-00-booster-leon-claw-5-60p-metal-coat-gold,1,Leon Claw,5-60,P,product_name,https://rucua.com/products/bx-00-booster-leon-claw-5-60p-metal-coat-gold,True,True,True,True,23.8,0.2,0.2,21.0,1.0,32.5,25.0,26.2,2532.0,1.0,31.5,11.5,12.5,1205.0,1.0,1,1,1,1.0,1.0,12.966666666666667,26.2,1252.6666666666667,2532.0,29.266666666666666,32.5,12.233333333333334,25.0
rucua_bx-00-booster-mammoth-task-metal-coat-black,1,Tusk Mammoth,,,product_name,https://rucua.com/products/bx-00-booster-mammoth-task-metal-coat-black,True,False,False,False,43.5,0.3,0.2,23.0,1.0,,,,,,,,,,,1,0,0,0.3333333333333333,0.3333333333333333,0.2,0.2,23.0,23.0,43.5,43.5,0.3,0.3
rucua_bx-00-booster-rock-leone-6-80gn,1,Rock Leone,6-80,GN,product_name,https://rucua.com/products/bx-00-booster-rock-leone-6-80gn,True,True,True,True,11.1,0.0,0.1,9.0,1.0,13.6,0.1,0.2,22.0,1.0,21.4,0.2,0.3,28.0,1.0,1,1,1,1.0,1.0,0.20000000000000004,0.3,19.666666666666668,28.0,15.366666666666665,21.4,0.10000000000000002,0.2
rucua_bx-00-booster-shark-edge-5-60gf-metal-coat-blue,1,Shark Edge,5-60,GF,product_name,https://rucua.com/products/bx-00-booster-shark-edge-5-60gf-metal-coat-blue,True,True,True,True,27.3,3.2,4.0,388.0,1.0,32.5,25.0,26.2,2532.0,1.0,27.5,0.6,0.7,69.0,1.0,1,1,1,1.0,1.0,10.299999999999999,26.2,996.3333333333334,2532.0,29.099999999999998,32.5,9.6,25.0
rucua_bx-00-cobalt-dragoon-9-60f-metal-coat-white-j-league-ver,1,Cobalt Dragoon,9-60,F,product_name,https://rucua.com/products/bx-00-cobalt-dragoon-9-60f-metal-coat-white-j-league-ver,True,True,True,True,34.1,23.6,23.6,2277.0,1.0,33.9,67.4,67.9,6555.0,1.0,23.3,2.2,3.2,313.0,1.0,1,1,1,1.0,1.0,31.566666666666666,67.9,3048.3333333333335,6555.0,30.433333333333334,34.1,31.066666666666666,67.4
rucua_bx-00-corocoro-croc-crunch-2-60q-metal-coat-green,1,Bite Croc,2-60,Q,product_name,https://rucua.com/products/bx-00-corocoro-croc-crunch-2-60q-metal-coat-green,True,True,True,True,37.0,0.5,0.5,46.0,1.0,20.7,0.4,0.6,58.0,1.0,17.1,0.2,0.4,35.0,1.0,1,1,1,1.0,1.0,0.5,0.6,46.333333333333336,58.0,24.933333333333337,37.0,0.3666666666666667,0.5
rucua_bx-00-corocoro-dran-sword-blade-metal-coat-blue,1,Dran Sword,,,product_name,https://rucua.com/products/bx-00-corocoro-dran-sword-blade-metal-coat-blue,True,False,False,False,27.6,1.5,1.8,174.0,1.0,,,,,,,,,,,1,0,0,0.3333333333333333,0.3333333333333333,1.8,1.8,174.0,174.0,27.6,27.6,1.5,1.5
