listing_id,slot,blade,ratchet,bit,content_source,source_reference,blade_resuelto,ratchet_resuelto,bit_resuelto,combo_resuelto
rucua_bx-00-beyblade-25th-anniversary-set,1,Dragoon Storm,4-60,RA,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True
rucua_bx-00-beyblade-25th-anniversary-set,2,Storm Pegasis,3-70,RA,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True
rucua_bx-00-beyblade-25th-anniversary-set,3,Victory Valkyrie,2-60,RA,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True
rucua_bx-00-beyblade-25th-anniversary-set,4,Dran Sword,3-60,F,description,https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,True,True,True,True
rucua_bx-00-booster-cobalt-drake-4-60f-clear-ver,1,Cobalt Drake,4-60,F,product_name,https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-clear-ver,True,True,True,True
rucua_bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,1,Cobalt Drake,4-60,F,product_name,https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,True,True,True,True
rucua_bx-00-booster-draciel-shield-7-60d,1,Draciel Shield,7-60,D,product_name,https://rucua.com/products/bx-00-booster-draciel-shield-7-60d,True,True,True,True
rucua_bx-00-booster-dragoon-storm-4-60ra,1,Dragoon Storm,4-60,RA,product_name,https://rucua.com/products/bx-00-booster-dragoon-storm-4-60ra,True,True,True,True
rucua_bx-00-booster-dran-sword-3-60f-version-2-0,1,Dran Sword,3-60,F,product_name,https://rucua.com/products/bx-00-booster-dran-sword-3-60f-version-2-0,True,True,True,True
rucua_bx-00-booster-dranzer-spiral-3-80t,1,Dranzer Spiral,3-80,T,product_name,https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t,True,True,True,True
rucua_bx-00-booster-dranzer-spiral-3-80t-black-ver,1,Dranzer Spiral,3-80,T,product_name,https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t-black-ver,True,True,True,True
rucua_bx-00-booster-drigger-slash-4-80p,1,Driger Slash,4-80,P,product_name,https://rucua.com/products/bx-00-booster-drigger-slash-4-80p,True,True,True,True
rucua_bx-00-booster-hells-chain-5-60ht-metal-coat-black,1,Hells Chain,5-60,HT,product_name,https://rucua.com/products/bx-00-booster-hells-chain-5-60ht-metal-coat-black,True,True,True,True
rucua_bx-00-booster-hells-size-4-60t-metal-coat-gold,1,Hells Scythe,4-60,T,product_name,https://rucua.com/products/bx-00-booster-hells-size-4-60t-metal-coat-gold,True,True,True,True
rucua_bx-00-booster-leon-claw-5-60p-metal-coat-gold,1,Leon Claw,5-60,P,product_name,https://rucua.com/products/bx-00-booster-leon-claw-5-60p-metal-coat-gold,True,True,True,True
rucua_bx-00-booster-mammoth-task-metal-coat-black,1,Tusk Mammoth,,,product_name,https://rucua.com/products/bx-00-booster-mammoth-task-metal-coat-black,True,False,False,False
rucua_bx-00-booster-rock-leone-6-80gn,1,Rock Leone,6-80,GN,product_name,https://rucua.com/products/bx-00-booster-rock-leone-6-80gn,True,True,True,True
rucua_bx-00-booster-shark-edge-5-60gf-metal-coat-blue,1,Shark Edge,5-60,GF,product_name,https://rucua.com/products/bx-00-booster-shark-edge-5-60gf-metal-coat-blue,True,True,True,True
rucua_bx-00-cobalt-dragoon-9-60f-metal-coat-white-j-league-ver,1,Cobalt Dragoon,9-60,F,product_name,https://rucua.com/products/bx-00-cobalt-dragoon-9-60f-metal-coat-white-j-league-ver,True,True,True,True
rucua_bx-00-corocoro-croc-crunch-2-60q-metal-coat-green,1,Bite Croc,2-60,Q,product_name,https://rucua.com/products/bx-00-corocoro-croc-crunch-2-60q-metal-coat-green,True,True,True,True
rucua_bx-00-corocoro-dran-sword-blade-metal-coat-blue,1,Dran Sword,,,product_name,https://rucua.com/products/bx-00-corocoro-dran-sword-blade-metal-coat-blue,True,False,False,False
rucua_bx-00-corocoro-hells-scythe-3-80f-3-in-1,1,Hells Scythe,3-80,F,product_name,https://rucua.com/products/bx-00-corocoro-hells-scythe-3-80f-3-in-1,True,True,True,True
rucua_bx-00-corocoro-phoenix-feather-apendix,1,Phoenix Feather,,,product_name,https://rucua.com/products/bx-00-corocoro-phoenix-feather-apendix,True,False,False,False
rucua_bx-00-corocoro-phoenix-feather-blade-metal-coat-orange,1,Phoenix Feather,,,product_name,https://rucua.com/products/bx-00-corocoro-phoenix-feather-blade-metal-coat-orange,True,False,False,False
rucua_bx-00-corocoro-phoenix-wing-9-80db-metal-coat-navy,1,Phoenix Wing,9-80,DB,product_name,https://rucua.com/products/bx-00-corocoro-phoenix-wing-9-80db-metal-coat-navy,True,True,True,True
rucua_bx-00-corocoro-starter-cobalt-dragoon-2-60c-metal-coat-black,1,Cobalt Dragoon,2-60,C,product_name,https://rucua.com/products/bx-00-corocoro-starter-cobalt-dragoon-2-60c-metal-coat-black,True,True,True,True
rucua_bx-00-dran-sword-1-60v-metal-coat-black-j-league-ver,1,Dran Sword,1-60,V,product_name,https://rucua.com/products/bx-00-dran-sword-1-60v-metal-coat-black-j-league-ver,True,True,True,True
rucua_bx-00-g3-tournament-prize-knight-shield-3-80n-metal-coat-gold,1,Knight Shield,3-80,N,product_name,https://rucua.com/products/bx-00-g3-tournament-prize-knight-shield-3-80n-metal-coat-gold,True,True,True,True
rucua_bx-00-random-booster-lightning-l-drago-1-60f,1,,1-60,F,product_name,https://rucua.com/products/bx-00-random-booster-lightning-l-drago-1-60f,False,True,True,False
rucua_bx-00-starter-dran-dagger-2-80gp-metal-coat-black-giants-ver,1,Dran Dagger,2-80,GP,product_name,https://rucua.com/products/bx-00-starter-dran-dagger-2-80gp-metal-coat-black-giants-ver,True,True,True,True
rucua_bx-00-starter-phoenix-wing-9-60gf-metal-coat-black-kitani-tatsuya-ver,1,Phoenix Wing,9-60,GF,product_name,https://rucua.com/products/bx-00-starter-phoenix-wing-9-60gf-metal-coat-black-kitani-tatsuya-ver,True,True,True,True
rucua_bx-00-starter-storm-pegasus-3-70ra,1,Storm Pegasis,3-70,RA,product_name,https://rucua.com/products/bx-00-starter-storm-pegasus-3-70ra,True,True,True,True
rucua_bx-00-starter-xeno-excalibur-3-60gf,1,Xeno Xcalibur,3-60,GF,product_name,https://rucua.com/products/bx-00-starter-xeno-excalibur-3-60gf,True,True,True,True
rucua_bx-01-starter-dran-sword-3-60f,1,Dran Sword,3-60,F,product_name,https://rucua.com/products/bx-01-starter-dran-sword-3-60f,True,True,True,True
rucua_bx-02-starter-hells-scythe-4-60t,1,Hells Scythe,4-60,T,product_name,https://rucua.com/products/bx-02-starter-hells-scythe-4-60t,True,True,True,True
rucua_bx-03-starter-wizard-arrow-4-80b,1,Wizard Arrow,4-80,B,product_name,https://rucua.com/products/bx-03-starter-wizard-arrow-4-80b,True,True,True,True
rucua_bx-04-starter-knight-shield-3-80n,1,Knight Shield,3-80,N,product_name,https://rucua.com/products/bx-04-starter-knight-shield-3-80n,True,True,True,True
rucua_bx-05-booster-wizard-arrow-4-80b,1,Wizard Arrow,4-80,B,product_name,https://rucua.com/products/bx-05-booster-wizard-arrow-4-80b,True,True,True,True
rucua_bx-06-booster-knight-shield-3-80n,1,Knight Shield,3-80,N,product_name,https://rucua.com/products/bx-06-booster-knight-shield-3-80n,True,True,True,True
rucua_bx-13-booster-knight-lance-4-80hn,1,Knight Lance,4-80,HN,product_name,https://rucua.com/products/bx-13-booster-knight-lance-4-80hn,True,True,True,True
rucua_bx-15-starter-leon-claw-5-60p,1,Leon Claw,5-60,P,product_name,https://rucua.com/products/bx-15-starter-leon-claw-5-60p,True,True,True,True
rucua_bx-07-start-dash-set,1,Dran Sword,3-60,F,takara_tomy,https://beyblade.takaratomy.co.jp/beyblade-x/lineup/bx07.html,True,True,True,True
rucua_bx-08-3on3-deck-set,1,Hells Scythe,3-80,B,takara_tomy,https://beyblade.takaratomy.co.jp/beyblade-x/lineup/bx08.html,True,True,True,True
rucua_bx-08-3on3-deck-set,2,Wizard Arrow,4-60,N,takara_tomy,https://beyblade.takaratomy.co.jp/beyblade-x/lineup/bx08.html,True,True,True,True
rucua_bx-08-3on3-deck-set,3,Knight Shield,4-80,T,takara_tomy,https://beyblade.takaratomy.co.jp/beyblade-x/lineup/bx08.html,True,True,True,True
